Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,KEGG Pathway,24,mmu05016,Huntington disease - Mus musculus (house mouse),,-4.3,9,6.6,21160,308,46,6,13,5,11771|11772|13385|14682|22152|22334,Ap2a1|Ap2a2|Dlg4|Gnaq|Tubb3|Vdac2,-2.6
MyList,GO Biological Processes,19,GO:0002090,regulation of receptor internalization,19_GO:0051179 localization,-4.3,19,8.4,21160,95,46,4,8.7,4.2,13385|18195|26562|104015,Dlg4|Nsf|Ncdn|Synj1,-2.5
MyList,GO Biological Processes,19,GO:0006099,tricarboxylic acid cycle,19_GO:0009987 cellular process,-4.3,41,11,21160,34,46,3,6.5,3.6,11429|18293|18597,Aco2|Ogdh|Pdha1,-2.5
MyList,Reactome Gene Sets,6,R-MMU-5673000,RAF activation,,-4.3,41,11,21160,34,46,3,6.5,3.6,12322|12323|15461,Camk2a|Camk2b|Hras,-2.5
MyList,Reactome Gene Sets,6,R-MMU-442755,Activation of NMDA receptors and postsynaptic events,,-4.3,41,11,21160,34,46,3,6.5,3.6,12322|12323|13385,Camk2a|Camk2b|Dlg4,-2.5
MyList,KEGG Pathway,24,mmu01210,2-Oxocarboxylic acid metabolism - Mus musculus (house mouse),,-4.3,41,11,21160,34,46,3,6.5,3.6,11429|18293|18597,Aco2|Ogdh|Pdha1,-2.5
MyList,GO Biological Processes,19,GO:0098662,inorganic cation transmembrane transport,19_GO:0051179 localization,-4.2,5.8,5.7,21160,632,46,8,17,5.6,11938|11964|20614|22348|72961|98660|108664|234267,Atp2a2|Atp6v1a|Snap25|Slc32a1|Slc17a7|Atp1a2|Atp6v1h|Gpm6a,-2.5
MyList,GO Biological Processes,19,GO:0031346,positive regulation of cell projection organization,19_GO:0048518 positive regulation of biological process,-4.2,6.9,6,21160,465,46,7,15,5.3,11771|12323|13385|15461|15519|22240|234267,Ap2a1|Camk2b|Dlg4|Hras|Hsp90aa1|Dpysl3|Gpm6a,-2.5
MyList,Reactome Gene Sets,6,R-MMU-5576891,Cardiac conduction,,-4.2,19,8.2,21160,98,46,4,8.7,4.2,11938|12322|12323|98660,Atp2a2|Camk2a|Camk2b|Atp1a2,-2.5
MyList,GO Biological Processes,19,GO:0009205,purine ribonucleoside triphosphate metabolic process,19_GO:0009987 cellular process,-4.2,12,7.1,21160,194,46,5,11,4.6,11964|15275|18293|56421|98660,Atp6v1a|Hk1|Ogdh|Pfkp|Atp1a2,-2.5
MyList,KEGG Pathway,24,mmu04713,Circadian entrainment - Mus musculus (house mouse),,-4.2,19,8.2,21160,99,46,4,8.7,4.2,12322|12323|14682|14683,Camk2a|Camk2b|Gnaq|Gnas,-2.5
MyList,GO Biological Processes,19,GO:0098655,monoatomic cation transmembrane transport,19_GO:0051179 localization,-4.2,5.7,5.7,21160,642,46,8,17,5.6,11938|11964|20614|22348|72961|98660|108664|234267,Atp2a2|Atp6v1a|Snap25|Slc32a1|Slc17a7|Atp1a2|Atp6v1h|Gpm6a,-2.5
MyList,GO Biological Processes,19,GO:0031503,protein-containing complex localization,19_GO:0051179 localization,-4.2,12,7,21160,198,46,5,11,4.6,11771|11772|12322|13385|19349,Ap2a1|Ap2a2|Camk2a|Dlg4|Rab7,-2.5
MyList,GO Biological Processes,19,GO:0006734,NADH metabolic process,19_GO:0009987 cellular process,-4.1,37,10,21160,37,46,3,6.5,3.6,15275|18293|56421,Hk1|Ogdh|Pfkp,-2.4
MyList,GO Biological Processes,19,GO:0009199,ribonucleoside triphosphate metabolic process,19_GO:0009987 cellular process,-4.1,11,6.9,21160,201,46,5,11,4.6,11964|15275|18293|56421|98660,Atp6v1a|Hk1|Ogdh|Pfkp|Atp1a2,-2.4
MyList,Reactome Gene Sets,6,R-MMU-2262752,Cellular responses to stress,,-4.1,6.7,5.9,21160,480,46,7,15,5.3,11964|12322|12323|13424|15519|22152|108664,Atp6v1a|Camk2a|Camk2b|Dync1h1|Hsp90aa1|Tubb3|Atp6v1h,-2.4
MyList,GO Biological Processes,19,GO:0030900,forebrain development,19_GO:0032502 developmental process,-4.1,6.7,5.9,21160,480,46,7,15,5.3,12799|14682|18293|22348|68585|98660|235380,Cnp|Gnaq|Ogdh|Slc32a1|Rtn4|Atp1a2|Dmxl2,-2.4
MyList,GO Biological Processes,19,GO:0009144,purine nucleoside triphosphate metabolic process,19_GO:0009987 cellular process,-4.1,11,6.9,21160,202,46,5,11,4.6,11964|15275|18293|56421|98660,Atp6v1a|Hk1|Ogdh|Pfkp|Atp1a2,-2.4
MyList,GO Biological Processes,19,GO:0030001,metal ion transport,19_GO:0051179 localization,-4.1,5.6,5.6,21160,662,46,8,17,5.6,11938|12322|12323|18195|20614|72961|98660|234267,Atp2a2|Camk2a|Camk2b|Nsf|Snap25|Slc17a7|Atp1a2|Gpm6a,-2.4
MyList,GO Biological Processes,19,GO:0048169,regulation of long-term neuronal synaptic plasticity,19_GO:0050789 regulation of biological process,-4.1,35,10,21160,39,46,3,6.5,3.6,12323|13385|15461,Camk2b|Dlg4|Hras,-2.4
MyList,KEGG Pathway,24,mmu05146,Amoebiasis - Mus musculus (house mouse),,-4.1,17,7.8,21160,108,46,4,8.7,4.2,14672|14682|14683|19349,Gna11|Gnaq|Gnas|Rab7,-2.4
MyList,GO Biological Processes,19,GO:0072657,protein localization to membrane,19_GO:0051179 localization,-4,6.4,5.7,21160,503,46,7,15,5.3,12322|13385|15519|15525|18195|19349|20910,Camk2a|Dlg4|Hsp90aa1|Hspa4|Nsf|Rab7|Stxbp1,-2.3
MyList,GO Biological Processes,19,GO:0021700,developmental maturation,19_GO:0032502 developmental process,-4,7.9,6.1,21160,349,46,6,13,5,11964|13385|14682|20910|72961|108664,Atp6v1a|Dlg4|Gnaq|Stxbp1|Slc17a7|Atp6v1h,-2.3
MyList,GO Biological Processes,19,GO:1903351,cellular response to dopamine,19_GO:0050896 response to stimulus,-4,33,9.6,21160,42,46,3,6.5,3.6,14672|14682|14683,Gna11|Gnaq|Gnas,-2.3
MyList,KEGG Pathway,24,mmu05415,Diabetic cardiomyopathy - Mus musculus (house mouse),,-4,11,6.6,21160,217,46,5,11,4.6,11938|12322|12323|18597|22334,Atp2a2|Camk2a|Camk2b|Pdha1|Vdac2,-2.3
MyList,KEGG Pathway,24,mmu05417,Lipid and atherosclerosis - Mus musculus (house mouse),,-4,11,6.6,21160,217,46,5,11,4.6,12322|12323|15461|15519|15525,Camk2a|Camk2b|Hras|Hsp90aa1|Hspa4,-2.3
MyList,GO Biological Processes,19,GO:0009141,nucleoside triphosphate metabolic process,19_GO:0009987 cellular process,-4,11,6.6,21160,218,46,5,11,4.6,11964|15275|18293|56421|98660,Atp6v1a|Hk1|Ogdh|Pfkp|Atp1a2,-2.3
MyList,GO Biological Processes,19,GO:0030100,regulation of endocytosis,19_GO:0051179 localization,-4,7.8,6,21160,352,46,6,13,5,11771|13385|18195|26562|72961|104015,Ap2a1|Dlg4|Nsf|Ncdn|Slc17a7|Synj1,-2.3
MyList,KEGG Pathway,24,mmu04972,Pancreatic secretion - Mus musculus (house mouse),,-3.9,16,7.5,21160,115,46,4,8.7,4.2,11938|14682|14683|98660,Atp2a2|Gnaq|Gnas|Atp1a2,-2.3
MyList,KEGG Pathway,24,mmu04928,"Parathyroid hormone synthesis, secretion and action - Mus musculus (house mouse)",,-3.9,16,7.5,21160,116,46,4,8.7,4.2,14672|14674|14682|14683,Gna11|Gna13|Gnaq|Gnas,-2.3
MyList,GO Biological Processes,19,GO:1903350,response to dopamine,19_GO:0050896 response to stimulus,-3.9,31,9.4,21160,44,46,3,6.5,3.6,14672|14682|14683,Gna11|Gnaq|Gnas,-2.3
MyList,KEGG Pathway,24,mmu04962,Vasopressin-regulated water reabsorption - Mus musculus (house mouse),,-3.9,31,9.4,21160,44,46,3,6.5,3.6,13424|14683|18195,Dync1h1|Gnas|Nsf,-2.3
MyList,KEGG Pathway,24,mmu04935,"Growth hormone synthesis, secretion and action - Mus musculus (house mouse)",,-3.9,16,7.5,21160,117,46,4,8.7,4.2,14672|14682|14683|15461,Gna11|Gnaq|Gnas|Hras,-2.2
MyList,KEGG Pathway,24,mmu04024,cAMP signaling pathway - Mus musculus (house mouse),,-3.9,10,6.5,21160,224,46,5,11,4.6,11938|12322|12323|14683|98660,Atp2a2|Camk2a|Camk2b|Gnas|Atp1a2,-2.2
MyList,GO Biological Processes,19,GO:0090150,establishment of protein localization to membrane,19_GO:0051179 localization,-3.9,10,6.5,21160,225,46,5,11,4.6,12322|15519|15525|18195|19349,Camk2a|Hsp90aa1|Hspa4|Nsf|Rab7,-2.2
MyList,GO Biological Processes,19,GO:0042391,regulation of membrane potential,19_GO:0065007 biological regulation,-3.9,6.1,5.6,21160,524,46,7,15,5.3,11938|13385|14672|14682|50997|72961|98660,Atp2a2|Dlg4|Gna11|Gnaq|Mpp2|Slc17a7|Atp1a2,-2.2
MyList,Reactome Gene Sets,6,R-MMU-9856530,High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells,,-3.9,31,9.3,21160,45,46,3,6.5,3.6,14672|14682|14683,Gna11|Gnaq|Gnas,-2.2
MyList,KEGG Pathway,24,mmu04919,Thyroid hormone signaling pathway - Mus musculus (house mouse),,-3.9,15,7.3,21160,120,46,4,8.7,4.2,11938|15461|56421|98660,Atp2a2|Hras|Pfkp|Atp1a2,-2.2
MyList,GO Biological Processes,19,GO:0071870,cellular response to catecholamine stimulus,19_GO:0050896 response to stimulus,-3.9,30,9.2,21160,46,46,3,6.5,3.6,14672|14682|14683,Gna11|Gnaq|Gnas,-2.2
MyList,GO Biological Processes,19,GO:0071868,cellular response to monoamine stimulus,19_GO:0050896 response to stimulus,-3.9,30,9.2,21160,46,46,3,6.5,3.6,14672|14682|14683,Gna11|Gnaq|Gnas,-2.2
MyList,GO Biological Processes,19,GO:0009166,nucleotide catabolic process,19_GO:0009987 cellular process,-3.8,15,7.3,21160,122,46,4,8.7,4.2,12799|15275|18293|56421,Cnp|Hk1|Ogdh|Pfkp,-2.2
MyList,GO Biological Processes,19,GO:0120034,positive regulation of plasma membrane bounded cell projection assembly,19_GO:0048518 positive regulation of biological process,-3.8,15,7.3,21160,122,46,4,8.7,4.2,15461|15519|22240|234267,Hras|Hsp90aa1|Dpysl3|Gpm6a,-2.2
MyList,GO Biological Processes,19,GO:0032024,positive regulation of insulin secretion,19_GO:0051179 localization,-3.8,15,7.3,21160,122,46,4,8.7,4.2,14672|14682|14683|20614,Gna11|Gnaq|Gnas|Snap25,-2.2
MyList,Reactome Gene Sets,6,R-MMU-112310,Neurotransmitter release cycle,,-3.8,29,9.1,21160,47,46,3,6.5,3.6,20910|22348|72961,Stxbp1|Slc32a1|Slc17a7,-2.2
MyList,Reactome Gene Sets,6,R-MMU-373755,Semaphorin interactions,,-3.8,29,9.1,21160,47,46,3,6.5,3.6,15519|22240|65254,Hsp90aa1|Dpysl3|Dpysl5,-2.2
MyList,GO Biological Processes,19,GO:0050796,regulation of insulin secretion,19_GO:0051179 localization,-3.8,9.8,6.3,21160,234,46,5,11,4.6,14672|14682|14683|14687|20614,Gna11|Gnaq|Gnas|Gnaz|Snap25,-2.2
MyList,GO Biological Processes,19,GO:1904951,positive regulation of establishment of protein localization,19_GO:0051179 localization,-3.8,7.4,5.8,21160,375,46,6,13,5,14672|14682|14683|15461|15519|20614,Gna11|Gnaq|Gnas|Hras|Hsp90aa1|Snap25,-2.2
MyList,GO Biological Processes,19,GO:0098660,inorganic ion transmembrane transport,19_GO:0051179 localization,-3.8,5.1,5.2,21160,728,46,8,17,5.6,11938|11964|20614|22348|72961|98660|108664|234267,Atp2a2|Atp6v1a|Snap25|Slc32a1|Slc17a7|Atp1a2|Atp6v1h|Gpm6a,-2.2
MyList,GO Biological Processes,19,GO:0008217,regulation of blood pressure,19_GO:0032501 multicellular organismal process,-3.8,9.7,6.3,21160,236,46,5,11,4.6,14672|14674|14682|14683|98660,Gna11|Gna13|Gnaq|Gnas|Atp1a2,-2.2
MyList,WikiPathways,27,WP157,Glycolysis and gluconeogenesis,,-3.8,28,8.9,21160,49,46,3,6.5,3.6,15275|18597|56421,Hk1|Pdha1|Pfkp,-2.1
MyList,GO Biological Processes,19,GO:0006091,generation of precursor metabolites and energy,19_GO:0009987 cellular process,-3.8,7.2,5.7,21160,383,46,6,13,5,11429|14683|15275|18293|18597|56421,Aco2|Gnas|Hk1|Ogdh|Pdha1|Pfkp,-2.1
MyList,Reactome Gene Sets,6,R-MMU-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,,-3.8,28,8.8,21160,50,46,3,6.5,3.6,13424|15519|22152,Dync1h1|Hsp90aa1|Tubb3,-2.1
MyList,KEGG Pathway,24,mmu04750,Inflammatory mediator regulation of TRP channels - Mus musculus (house mouse),,-3.7,14,7,21160,130,46,4,8.7,4.2,12322|12323|14682|14683,Camk2a|Camk2b|Gnaq|Gnas,-2.1
MyList,Reactome Gene Sets,6,R-MMU-388396,GPCR downstream signalling,,-3.7,5.8,5.3,21160,556,46,7,15,5.3,14672|14674|14682|14683|14687|15461|269060,Gna11|Gna13|Gnaq|Gnas|Gnaz|Hras|Dagla,-2.1
MyList,GO Biological Processes,19,GO:0044089,positive regulation of cellular component biogenesis,19_GO:0048518 positive regulation of biological process,-3.7,5.8,5.3,21160,560,46,7,15,5.3,13385|13424|15461|15519|19349|22240|234267,Dlg4|Dync1h1|Hras|Hsp90aa1|Rab7|Dpysl3|Gpm6a,-2.1
MyList,GO Biological Processes,19,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,19_GO:0050896 response to stimulus,-3.7,9.3,6.1,21160,247,46,5,11,4.6,14672|14674|14682|14683|14687,Gna11|Gna13|Gnaq|Gnas|Gnaz,-2.1
MyList,GO Biological Processes,19,GO:0071869,response to catecholamine,19_GO:0050896 response to stimulus,-3.7,27,8.6,21160,52,46,3,6.5,3.6,14672|14682|14683,Gna11|Gnaq|Gnas,-2.1
MyList,GO Biological Processes,19,GO:0050807,regulation of synapse organization,19_GO:0050789 regulation of biological process,-3.7,7,5.6,21160,393,46,6,13,5,12323|13385|14674|20614|68585|234267,Camk2b|Dlg4|Gna13|Snap25|Rtn4|Gpm6a,-2.1
MyList,KEGG Pathway,24,mmu04915,Estrogen signaling pathway - Mus musculus (house mouse),,-3.7,14,6.9,21160,134,46,4,8.7,4.2,14682|14683|15461|15519,Gnaq|Gnas|Hras|Hsp90aa1,-2.1
MyList,GO Biological Processes,19,GO:0071867,response to monoamine,19_GO:0050896 response to stimulus,-3.7,26,8.5,21160,53,46,3,6.5,3.6,14672|14682|14683,Gna11|Gnaq|Gnas,-2.1
MyList,KEGG Pathway,24,mmu05132,Salmonella infection - Mus musculus (house mouse),,-3.7,9.1,6.1,21160,252,46,5,11,4.6,13424|15461|15519|19349|22152,Dync1h1|Hras|Hsp90aa1|Rab7|Tubb3,-2.1
MyList,KEGG Pathway,24,mmu04728,Dopaminergic synapse - Mus musculus (house mouse),,-3.7,14,6.8,21160,136,46,4,8.7,4.2,12322|12323|14682|14683,Camk2a|Camk2b|Gnaq|Gnas,-2
MyList,Reactome Gene Sets,6,R-MMU-9006934,Signaling by Receptor Tyrosine Kinases,,-3.7,6.9,5.6,21160,400,46,6,13,5,11771|11772|11964|15461|15519|108664,Ap2a1|Ap2a2|Atp6v1a|Hras|Hsp90aa1|Atp6v1h,-2
MyList,KEGG Pathway,24,mmu05163,Human cytomegalovirus infection - Mus musculus (house mouse),,-3.7,9.1,6,21160,254,46,5,11,4.6,14672|14674|14682|14683|15461,Gna11|Gna13|Gnaq|Gnas|Hras,-2
MyList,GO Biological Processes,19,GO:0006096,glycolytic process,19_GO:0009987 cellular process,-3.7,26,8.4,21160,54,46,3,6.5,3.6,15275|18293|56421,Hk1|Ogdh|Pfkp,-2
MyList,GO Biological Processes,19,GO:0006753,nucleoside phosphate metabolic process,19_GO:0009987 cellular process,-3.6,5.6,5.2,21160,575,46,7,15,5.3,11964|12799|15275|18293|18597|56421|98660,Atp6v1a|Cnp|Hk1|Ogdh|Pdha1|Pfkp|Atp1a2,-2
MyList,GO Biological Processes,19,GO:0050890,cognition,19_GO:0032501 multicellular organismal process,-3.6,6.8,5.5,21160,403,46,6,13,5,14683|17754|20614|72961|98660|104015,Gnas|Map1a|Snap25|Slc17a7|Atp1a2|Synj1,-2
MyList,GO Biological Processes,19,GO:0007409,axonogenesis,19_GO:0032502 developmental process,-3.6,6.8,5.5,21160,405,46,6,13,5,12799|17754|20614|20910|22152|65254,Cnp|Map1a|Snap25|Stxbp1|Tubb3|Dpysl5,-2
MyList,GO Biological Processes,19,GO:0010975,regulation of neuron projection development,19_GO:0032502 developmental process,-3.6,5.6,5.2,21160,578,46,7,15,5.3,11771|12323|13385|20614|22240|65254|68585,Ap2a1|Camk2b|Dlg4|Snap25|Dpysl3|Dpysl5|Rtn4,-2
MyList,GO Biological Processes,19,GO:1901292,nucleoside phosphate catabolic process,19_GO:0009987 cellular process,-3.6,13,6.7,21160,142,46,4,8.7,4.2,12799|15275|18293|56421,Cnp|Hk1|Ogdh|Pfkp,-2
MyList,GO Biological Processes,19,GO:0051668,localization within membrane,19_GO:0051179 localization,-3.6,5.5,5.1,21160,587,46,7,15,5.3,12322|13385|15519|15525|18195|19349|20910,Camk2a|Dlg4|Hsp90aa1|Hspa4|Nsf|Rab7|Stxbp1,-2
MyList,GO Biological Processes,19,GO:0007420,brain development,19_GO:0032502 developmental process,-3.6,4.7,4.9,21160,784,46,8,17,5.6,12799|14682|18293|20168|22348|68585|98660|235380,Cnp|Gnaq|Ogdh|Rtn3|Slc32a1|Rtn4|Atp1a2|Dmxl2,-2
MyList,Reactome Gene Sets,6,R-MMU-372790,Signaling by GPCR,,-3.6,5.5,5.1,21160,589,46,7,15,5.3,14672|14674|14682|14683|14687|15461|269060,Gna11|Gna13|Gnaq|Gnas|Gnaz|Hras|Dagla,-2
MyList,KEGG Pathway,24,mmu04270,Vascular smooth muscle contraction - Mus musculus (house mouse),,-3.6,13,6.6,21160,144,46,4,8.7,4.2,14672|14674|14682|14683,Gna11|Gna13|Gnaq|Gnas,-2
MyList,GO Biological Processes,19,GO:0048488,synaptic vesicle endocytosis,19_GO:0051179 localization,-3.6,24,8.1,21160,58,46,3,6.5,3.6,11771|11772|104015,Ap2a1|Ap2a2|Synj1,-2
MyList,GO Biological Processes,19,GO:0046032,ADP catabolic process,19_GO:0009987 cellular process,-3.6,24,8.1,21160,58,46,3,6.5,3.6,15275|18293|56421,Hk1|Ogdh|Pfkp,-2
MyList,Reactome Gene Sets,6,R-MMU-422356,Regulation of insulin secretion,,-3.5,23,8,21160,59,46,3,6.5,3.6,14672|14682|14683,Gna11|Gnaq|Gnas,-1.9
MyList,Reactome Gene Sets,6,R-MMU-187037,Signaling by NTRK1 (TRKA),,-3.5,23,8,21160,59,46,3,6.5,3.6,11771|11772|15461,Ap2a1|Ap2a2|Hras,-1.9
MyList,GO Biological Processes,19,GO:0046902,regulation of mitochondrial membrane permeability,19_GO:0051179 localization,-3.5,23,8,21160,59,46,3,6.5,3.6,12322|12799|22334,Camk2a|Cnp|Vdac2,-1.9
MyList,GO Biological Processes,19,GO:0055086,nucleobase-containing small molecule metabolic process,19_GO:0009987 cellular process,-3.5,5.4,5.1,21160,600,46,7,15,5.3,11964|12799|15275|18293|18597|56421|98660,Atp6v1a|Cnp|Hk1|Ogdh|Pdha1|Pfkp|Atp1a2,-1.9
MyList,Reactome Gene Sets,6,R-MMU-373760,L1CAM interactions,,-3.5,23,8,21160,60,46,3,6.5,3.6,11771|11772|22152,Ap2a1|Ap2a2|Tubb3,-1.9
MyList,GO Biological Processes,19,GO:0019674,NAD metabolic process,19_GO:0009987 cellular process,-3.5,23,8,21160,60,46,3,6.5,3.6,15275|18293|56421,Hk1|Ogdh|Pfkp,-1.9
MyList,Reactome Gene Sets,6,R-MMU-397014,Muscle contraction,,-3.5,12,6.4,21160,152,46,4,8.7,4.2,11938|12322|12323|98660,Atp2a2|Camk2a|Camk2b|Atp1a2,-1.9
MyList,GO Biological Processes,19,GO:0009117,nucleotide metabolic process,19_GO:0009987 cellular process,-3.5,6.4,5.3,21160,433,46,6,13,5,11964|12799|15275|18293|56421|98660,Atp6v1a|Cnp|Hk1|Ogdh|Pfkp|Atp1a2,-1.9
MyList,GO Biological Processes,19,GO:0009181,purine ribonucleoside diphosphate catabolic process,19_GO:0009987 cellular process,-3.5,22,7.8,21160,62,46,3,6.5,3.6,15275|18293|56421,Hk1|Ogdh|Pfkp,-1.9
MyList,GO Biological Processes,19,GO:0019364,pyridine nucleotide catabolic process,19_GO:0009987 cellular process,-3.5,22,7.8,21160,62,46,3,6.5,3.6,15275|18293|56421,Hk1|Ogdh|Pfkp,-1.9
MyList,GO Biological Processes,19,GO:0009137,purine nucleoside diphosphate catabolic process,19_GO:0009987 cellular process,-3.5,22,7.8,21160,62,46,3,6.5,3.6,15275|18293|56421,Hk1|Ogdh|Pfkp,-1.9
MyList,GO Biological Processes,19,GO:0090276,regulation of peptide hormone secretion,19_GO:0051179 localization,-3.5,8.3,5.7,21160,278,46,5,11,4.6,14672|14682|14683|14687|20614,Gna11|Gnaq|Gnas|Gnaz|Snap25,-1.9
MyList,KEGG Pathway,24,mmu04723,Retrograde endocannabinoid signaling - Mus musculus (house mouse),,-3.5,12,6.4,21160,153,46,4,8.7,4.2,14682|22348|72961|269060,Gnaq|Slc32a1|Slc17a7|Dagla,-1.9
MyList,GO Biological Processes,19,GO:0030168,platelet activation,19_GO:0032501 multicellular organismal process,-3.5,22,7.8,21160,63,46,3,6.5,3.6,14674|14683|20910,Gna13|Gnas|Stxbp1,-1.9
MyList,KEGG Pathway,24,mmu04929,GnRH secretion - Mus musculus (house mouse),,-3.5,22,7.8,21160,63,46,3,6.5,3.6,14672|14682|15461,Gna11|Gnaq|Hras,-1.9
MyList,GO Biological Processes,19,GO:0046031,ADP metabolic process,19_GO:0009987 cellular process,-3.5,22,7.8,21160,63,46,3,6.5,3.6,15275|18293|56421,Hk1|Ogdh|Pfkp,-1.9
MyList,GO Biological Processes,19,GO:0055082,intracellular chemical homeostasis,19_GO:0042592 homeostatic process,-3.5,5.2,5,21160,619,46,7,15,5.3,11938|11964|15275|19349|68585|98660|235380,Atp2a2|Atp6v1a|Hk1|Rab7|Rtn4|Atp1a2|Dmxl2,-1.9
MyList,GO Biological Processes,19,GO:0002791,regulation of peptide secretion,19_GO:0051179 localization,-3.4,8.1,5.6,21160,283,46,5,11,4.6,14672|14682|14683|14687|20614,Gna11|Gnaq|Gnas|Gnaz|Snap25,-1.9
MyList,GO Biological Processes,19,GO:1990778,protein localization to cell periphery,19_GO:0051179 localization,-3.4,8.1,5.6,21160,283,46,5,11,4.6,12322|13385|18195|19349|20910,Camk2a|Dlg4|Nsf|Rab7|Stxbp1,-1.9
MyList,Reactome Gene Sets,6,R-MMU-9860931,Response of endothelial cells to shear stress,,-3.4,22,7.7,21160,64,46,3,6.5,3.6,14672|14682|14683,Gna11|Gnaq|Gnas,-1.9
MyList,Reactome Gene Sets,6,R-MMU-9855142,Cellular responses to mechanical stimuli,,-3.4,22,7.7,21160,64,46,3,6.5,3.6,14672|14682|14683,Gna11|Gnaq|Gnas,-1.9
MyList,GO Biological Processes,19,GO:0140238,presynaptic endocytosis,19_GO:0051179 localization,-3.4,22,7.7,21160,64,46,3,6.5,3.6,11771|11772|104015,Ap2a1|Ap2a2|Synj1,-1.9
MyList,GO Biological Processes,19,GO:0090087,regulation of peptide transport,19_GO:0051179 localization,-3.4,8.1,5.6,21160,285,46,5,11,4.6,14672|14682|14683|14687|20614,Gna11|Gnaq|Gnas|Gnaz|Snap25,-1.9
MyList,GO Biological Processes,19,GO:0090277,positive regulation of peptide hormone secretion,19_GO:0051179 localization,-3.4,12,6.3,21160,157,46,4,8.7,4.2,14672|14682|14683|20614,Gna11|Gnaq|Gnas|Snap25,-1.9
MyList,GO Biological Processes,19,GO:0048260,positive regulation of receptor-mediated endocytosis,19_GO:0051179 localization,-3.4,21,7.6,21160,65,46,3,6.5,3.6,11771|18195|104015,Ap2a1|Nsf|Synj1,-1.9
MyList,GO Biological Processes,19,GO:0009150,purine ribonucleotide metabolic process,19_GO:0009987 cellular process,-3.4,8,5.6,21160,289,46,5,11,4.6,11964|15275|18293|56421|98660,Atp6v1a|Hk1|Ogdh|Pfkp|Atp1a2,-1.8
MyList,GO Biological Processes,19,GO:0009191,ribonucleoside diphosphate catabolic process,19_GO:0009987 cellular process,-3.4,21,7.6,21160,66,46,3,6.5,3.6,15275|18293|56421,Hk1|Ogdh|Pfkp,-1.8
MyList,GO Biological Processes,19,GO:0072526,pyridine-containing compound catabolic process,19_GO:0009987 cellular process,-3.4,21,7.6,21160,66,46,3,6.5,3.6,15275|18293|56421,Hk1|Ogdh|Pfkp,-1.8
MyList,GO Biological Processes,19,GO:0070201,regulation of establishment of protein localization,19_GO:0051179 localization,-3.4,5.1,4.9,21160,635,46,7,15,5.3,14672|14682|14683|14687|15461|15519|20614,Gna11|Gnaq|Gnas|Gnaz|Hras|Hsp90aa1|Snap25,-1.8
MyList,GO Biological Processes,19,GO:0002793,positive regulation of peptide secretion,19_GO:0051179 localization,-3.4,11,6.2,21160,161,46,4,8.7,4.2,14672|14682|14683|20614,Gna11|Gnaq|Gnas|Snap25,-1.8
MyList,Reactome Gene Sets,6,R-MMU-1280218,Adaptive Immune System,,-3.4,5.1,4.9,21160,636,46,7,15,5.3,11771|11772|13424|15461|19349|22152|22201,Ap2a1|Ap2a2|Dync1h1|Hras|Rab7|Tubb3|Uba1,-1.8
MyList,KEGG Pathway,24,mmu00010,Glycolysis / Gluconeogenesis - Mus musculus (house mouse),,-3.4,21,7.5,21160,67,46,3,6.5,3.6,15275|18597|56421,Hk1|Pdha1|Pfkp,-1.8
MyList,KEGG Pathway,24,mmu04148,Efferocytosis - Mus musculus (house mouse),,-3.4,11,6.2,21160,163,46,4,8.7,4.2,11938|12322|12323|19349,Atp2a2|Camk2a|Camk2b|Rab7,-1.8
MyList,GO Biological Processes,19,GO:0009134,nucleoside diphosphate catabolic process,19_GO:0009987 cellular process,-3.4,20,7.4,21160,68,46,3,6.5,3.6,15275|18293|56421,Hk1|Ogdh|Pfkp,-1.8
MyList,KEGG Pathway,24,mmu05031,Amphetamine addiction - Mus musculus (house mouse),,-3.3,20,7.4,21160,69,46,3,6.5,3.6,12322|12323|14683,Camk2a|Camk2b|Gnas,-1.8
MyList,GO Biological Processes,19,GO:0009179,purine ribonucleoside diphosphate metabolic process,19_GO:0009987 cellular process,-3.3,20,7.3,21160,70,46,3,6.5,3.6,15275|18293|56421,Hk1|Ogdh|Pfkp,-1.8
MyList,Reactome Gene Sets,6,R-MMU-163685,Integration of energy metabolism,,-3.3,20,7.3,21160,70,46,3,6.5,3.6,14672|14682|14683,Gna11|Gnaq|Gnas,-1.8
MyList,GO Biological Processes,19,GO:0009135,purine nucleoside diphosphate metabolic process,19_GO:0009987 cellular process,-3.3,20,7.3,21160,70,46,3,6.5,3.6,15275|18293|56421,Hk1|Ogdh|Pfkp,-1.8
MyList,GO Biological Processes,19,GO:0016079,synaptic vesicle exocytosis,19_GO:0051179 localization,-3.3,20,7.3,21160,70,46,3,6.5,3.6,20614|20910|104015,Snap25|Stxbp1|Synj1,-1.8
MyList,Reactome Gene Sets,6,R-MMU-166520,Signaling by NTRKs,,-3.3,19,7.3,21160,71,46,3,6.5,3.6,11771|11772|15461,Ap2a1|Ap2a2|Hras,-1.8
